ID-061201	5.90E+03	1.90E+02	5.60E-01	3.10E-01
ID-061201	6.10E+03	2.40E+02	4.50E-01	2.60E-01
ID-061201	6.40E+03	2.60E+02	6.60E-01	3.40E-01
ID-061201	1.20E+04	5.90E+03	1.10E-01	7.20E-02
ID-061201	2.10E+04	1.20E+04	5.50E-02	3.60E-02
ID-061201	6.70E+04	1.30E+05	4.80E-03	2.90E-03
ID-061210	2.30E+05	5.30E+04	4.80E-02	1.30E-02
ID-061210	3.10E+05	9.40E+04	2.60E-02	8.00E-03
ID-061210	4.20E+05	1.30E+05	1.80E-02	6.00E-03
ID-061210	7.00E+05	4.90E+05	1.40E-02	0.00E+00
ID-061217	6.00E+04	3.20E+05	2.50E-03	0.00E+00
ID-070209	4.40E+05	1.90E+04	8.30E-04	0.00E+00
ID-070406	9.70E+04	1.30E+04	1.80E-03	0.00E+00
ID-070429B	1.60E+03	2.00E+03	3.20E-01	8.00E-02
ID-070429B	1.60E+04	3.60E+03	2.40E-02	0.00E+00
ID-070707	4.10E+04	2.20E+04	1.50E-01	3.20E-02
ID-070707	4.10E+05	1.90E+05	3.20E-02	0.00E+00
ID-070714B	8.50E+02	1.20E+02	2.00E+00	6.40E-01
ID-070714B	2.80E+03	1.80E+02	4.00E-01	1.80E-01
ID-070714B	3.10E+03	3.10E+02	2.40E-01	1.10E-01
ID-070714B	3.60E+03	6.80E+02	1.90E-01	9.00E-02
ID-070714B	5.90E+03	4.20E+02	1.50E-01	7.50E-02
ID-070714B	6.50E+03	8.00E+02	1.20E-01	5.80E-02
ID-070714B	9.20E+03	1.40E+03	5.40E-02	2.70E-02
ID-070714B	2.90E+04	5.80E+04	3.00E-03	1.70E-03
ID-070724A	4.60E+03	4.80E+03	5.50E-02	3.20E-02
ID-070724A	1.10E+04	7.60E+03	2.60E-02	1.40E-02
ID-070724A	1.80E+04	5.20E+03	2.40E-02	1.30E-02
ID-070724A	2.60E+04	1.20E+04	1.40E-02	7.50E-03
ID-070724A	5.30E+04	5.50E+04	1.00E-02	5.40E-03
ID-070724A	1.80E+05	3.00E+05	1.80E-03	5.90E-04
ID-070729	2.00E+04	6.60E+04	3.80E-03	0.00E+00
ID-070809	1.10E+03	2.70E+02	2.70E-01	1.30E-01
ID-070809	1.60E+03	6.60E+02	2.00E-01	8.00E-02
ID-070809	5.50E+03	3.20E+02	2.30E-01	1.10E-01
ID-070809	5.90E+03	5.10E+02	1.40E-01	6.80E-02
ID-070809	6.30E+03	3.70E+02	2.30E-01	1.10E-01
ID-070809	6.80E+03	5.60E+02	1.30E-01	6.20E-02
ID-070809	7.40E+03	6.70E+02	1.20E-01	5.80E-02
ID-070809	1.10E+04	6.70E+02	1.00E-01	4.70E-02
ID-070809	1.20E+04	8.00E+02	9.30E-02	4.40E-02
ID-070809	1.30E+04	9.90E+02	8.50E-02	3.90E-02
ID-070809	1.80E+04	2.60E+03	3.80E-02	1.70E-02
ID-070809	2.40E+04	2.00E+03	5.00E-02	2.10E-02
ID-070810B	9.83E+02	7.20E+03	6.60E-04	0.00E+00
ID-071017	2.00E+05	2.10E+03	5.90E-03	0.00E+00
ID-071112B	3.70E+03	2.20E+03	2.30E-02	0.00E+00
ID-071227	6.20E+03	9.50E+03	2.20E-02	9.80E-03
ID-071227	5.70E+04	2.50E+05	2.60E-03	8.60E-04
ID-080121	2.00E+05	2.20E+04	4.00E-03	0.00E+00
ID-080123	1.40E+03	1.70E+03	7.20E-02	2.40E-02
ID-080123	1.80E+04	5.30E+04	9.50E-03	3.20E-03
ID-080426	1.10E+03	1.00E+02	2.10E+00	4.80E-01
ID-080426	1.20E+03	1.50E+02	1.40E+00	3.20E-01
