GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma, Lower Sigma,Beta_OX, Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-060313,6.111111111111111,6.6,0.4888888888888889,-0.96,0.09,0.09,-0.7779134024837373,0.10697606776519963,0.12600608271686106
ID-060313,6.388888888888889,6.6,0.2111111111111111,-0.96,0.09,0.09,-0.6717831905611233,0.10493386674954255,0.12142879189258153
ID-060313,6.388888888888889,6.6,0.2111111111111111,-0.96,0.09,0.09,-0.7482573501058627,0.10318730928309158,0.11764580060295066
ID-060313,9.444444444444445,9.6,0.15555555555555556,-0.96,0.09,0.09,-0.728523539333843,0.17515552056234637,0.1552810497133132
ID-060313,9.444444444444445,9.8,0.35555555555555557,-0.96,0.09,0.09,-0.7137617153847805,0.19994082612447145,0.15821682626513664
ID-060313,24.166666666666668,24.2,0.03333333333333333,-0.96,0.09,0.09,-0.9065875668183125,0.09207292193439619,0.11572662905286635
ID-070429B,4.444444444444445,4.8,0.35555555555555557,-2.0,0.63,0.63,0,0,0
ID-070707,11.38888888888889,11.0,0.3888888888888889,-1.86,1.58,0.57,-0.42105300709324933,0.03384264646277747,0.041219181603399026
ID-070707,113.88888888888889,108.0,5.888888888888889,-1.86,1.58,0.57,-0.1154988945209058,0.04113579518321788,0.03267428195395467
ID-070724A,3.0555555555555554,2.8,0.25555555555555554,-0.6,0.25,0.25,-0.7881440045674691,0.08132189244962054,0.12368672491999966
ID-070724A,3.0555555555555554,3.1,0.044444444444444446,-0.6,0.25,0.25,-0.7048660921938852,0.07566637380848609,0.12405973884079492
ID-100117A,8.61111111111111,8.3,0.3111111111111101,-1.6,0.3,0.3,-0.7532550515543532,0.08295455835257773,0.0940179515356183
ID-111020A,19.166666666666668,17.8,1.3666666666666667,-1.04,0.16,0.16,-0.5270319314967763,0.01195462170970293,0.012918413400813103
ID-111020A,19.166666666666668,17.8,1.3666666666666667,-1.04,0.16,0.16,-0.4673713430090133,0.011571834494428676,0.012504765557197503
ID-111020A,19.166666666666668,18.5,0.6666666666666666,-1.04,0.16,0.16,-0.4206154616429344,0.01077215852482202,0.011640619036049946
ID-130603B,5.833333333333333,5.9,0.06666666666666667,-1.2,0.1,0.1,-0.6651930675441968,0.038643429126510906,0.04904963306796415
ID-130603B,6.111111111111111,5.9,0.2111111111111111,-1.2,0.1,0.1,-0.6651930675441968,0.037975682048728254,0.04793671834862839
ID-130603B,5.833333333333333,6.1,0.26666666666666666,-1.2,0.1,0.1,-0.7338406961434162,0.04226356909486535,0.051693550951270234
ID-130603B,6.111111111111111,6.1,0.011111111111111112,-1.2,0.1,0.1,-0.7338406961434162,0.04163240322609915,0.05064160507376105
ID-130603B,6.111111111111111,6.6,0.4888888888888889,-1.2,0.1,0.1,-0.6932018448804402,0.04294603311097133,0.05231620196678029
ID-130603B,6.111111111111111,6.7,0.5888888888888889,-1.2,0.1,0.1,-0.621659015059714,0.05153328026351181,0.06064797872256061
ID-130603B,7.777777777777778,7.1,0.6777777777777778,-1.2,0.1,0.1,-0.6856999286312464,0.05839819884086432,0.08175884629409591
