ID-090510,6.7,ESO/MPG,GROND,r,0.00E+00,2.3,0.71
ID-090510,6.8,ESO/MPG,GROND,r,0.00E+00,3.8,0.77
ID-090510,6.9,ESO/MPG,GROND,r,0.00E+00,2.7,0.89
ID-090510,7.1,ESO/MPG,GROND,r,0.00E+00,3.4,0.79
ID-090510,7.2,ESO/MPG,GROND,r,0.00E+00,2.9,0.72
ID-090510,7.3,ESO/MPG,GROND,r,0.00E+00,2.2,0.75
ID-090510,7.4,ESO/MPG,GROND,r,0.00E+00,3.1,0.77
ID-090510,7.6,ESO/MPG,GROND,r,0.00E+00,2.3,0.59
ID-090510,7.7,ESO/MPG,GROND,r,0.00E+00,1.9,0.4
ID-090510,7.8,ESO/MPG,GROND,r,0.00E+00,1.9,0.5
ID-090510,7.9,ESO/MPG,GROND,r,0.00E+00,2.2,0.55
ID-090510,8.1,ESO/MPG,GROND,r,0.00E+00,1.8,0.59
ID-090510,8.2,ESO/MPG,GROND,r,0.00E+00,2,0.52
ID-090510,8.3,ESO/MPG,GROND,r,0.00E+00,2,0.47
ID-090510,8.4,ESO/MPG,GROND,r,0.00E+00,2.1,0.46
ID-090510,8.6,ESO/MPG,GROND,r,0.00E+00,2.3,0.48
ID-090510,8.6,ESO/MPG,GROND,J,0.00E+00,4.8,0
ID-090510,8.7,ESO/MPG,GROND,r,0.00E+00,2,0.47
ID-090510,8.8,ESO/MPG,GROND,r,0.00E+00,1.9,0.44
ID-090510,8.9,ESO/MPG,GROND,r,0.00E+00,1.5,0.47
ID-090510,9.1,ESO/MPG,GROND,r,0.00E+00,1.7,0.43
ID-090510,9.2,ESO/MPG,GROND,r,0.00E+00,1.3,0.41
ID-090510,9.3,ESO/MPG,GROND,r,0.00E+00,1.5,0.41
ID-090510,9.5,ESO/MPG,GROND,r,0.00E+00,1.5,0.4
ID-090510,9.7,ESO/MPG,GROND,r,0.00E+00,0.88,0.47
ID-090510,9.8,ESO/MPG,GROND,r,0.00E+00,1.2,0.41
ID-090515,1.4,WIYN,WHIRC,J,2.40E+03,39.4,0
ID-090515,1.7,Gemini-N,GMOS,r,1.80E+03,0.11,0.01
ID-090515,2,MMT,MMIRS,K,810,12,0
ID-090515,25,Gemini-N,GMOS,r,1.80E+03,0.09,0.03
ID-090515,4400,Gemini-N,GMOS,r,2.80E+03,0.04,0
ID-090607,0.52,FaulkesNorth,--,R,7.20E+02,5.7,0
ID-090621B,0.75,RTT150,TFOSC,R_c,9.00E+02,1.91,0
ID-090916,2.7,PROMPT,--,R,4.80E+02,71.4,0
ID-091109B,6,VLT,FORS2,R,2.40E+03,0.67,0.09
ID-091109B,7.2,VLT,HAWK-I,K,1.32E+03,0.85,0
ID-091109B,8.3,VLT,HAWK-I,J,1.32E+03,2.5,0
ID-091109B,10.4,VLT,FORS2,R,1.20E+03,0.51,0.11
ID-091109B,31.7,VLT,FORS2,R,2.40E+03,0.17,0
ID-091117,31.5,ESO/MPG,GROND,J,0.00E+00,7.59,0
ID-091117,31.7,Magellan,IMACS,r,0.00E+00,0.98,0
ID-100117A,3.9,Magellan,IMACS,R,1.20E+03,0.97,0
ID-100117A,4.3,ESO/MPG,GROND,r,0.00E+00,0.69,0
ID-100117A,8.3,Gemini-N,GMOS,r,2700,0.24,0.05
ID-100206A,11.7,ESO/MPG,GROND,i,0,1.8,0
ID-100206A,11.7,ESO/MPG,GROND,J,0,9.7,0
ID-100206A,15.7,Gemini-N,GMOS,i,1200,0.18,0
ID-100625A,12.2,ESO/MPG,GROND,g,3600,1.32,0
ID-100625A,33.9,Magellan,PANIC,J,2100,1,0
ID-100628A,1.1,Gemini-N,GMOS,i,1200,0.85,0
ID-100628A,17.8,Magellan,PANIC,J,1620,5.43,0
ID-100702A,0.16,ESO/MPG,GROND,J,0,27.29,0
ID-100702A,1.7,ESO/MPG,GROND,r,0,1.96,0
ID-101219A,0.96,Gemini-S,GMOS,i,1620,0.4,0
ID-101219A,1.2,Magellan,FourStar,J,1500,1.36,0
ID-110112A,15.4,WHT,ACAM,i,600,2.8,0.75
ID-110112A,4000,Magellan,LDSS3,i,1200,0.49,0
ID-110112B,17,Swift,UVOT,white,3600,5.01,0
ID-110420B,10.5,Magellan,IMACS,r,1530,1.4,0
ID-111020A,17.8,Magellan/Clay,LDSS3,r,1080,0.83,0
ID-111020A,17.8,Gemini-S,GMOS,i,1620,0.63,0
ID-111020A,18.5,VLT,HAWK-I,J,2640,0.57,0
ID-111117A,8.2,GTC,OSIRIS,r,1200,0.4,0
ID-111117A,13.7,Gemini-S,GMOS,r,1200,0.23,0
ID-120229A,9.6,Magellan/Clay,LDSS3,r,540,4.1,0
ID-120305A,0.23,Liverpool,--,r,0,25.85,0
ID-120521A,18.6,ESO/MPG,GROND,r,3000,0.88,0
ID-120521A,18.6,ESO/MPG,GROND,J,2400,20.9,0
ID-120804A,5.5,Gemini-N,GMOS,i,1980,0.17,0.04
ID-120817B,24,LCO/duPont,WFCCD,R,900,1.5,0
ID-121226A,11.1,NOT,ALFOSC,R,1800,2.1,0
ID-130313A,13.4,TNG,--,r,1800,0.44,0
ID-130515A,0.63,Gemini-S,GMOS,r,240,1.4,0
ID-130603B,0.19,Swift,UVOT,V,180,199.5,0
ID-130603B,2.1,Swift,UVOT,V,5110,54,0
ID-130603B,2.4,Swift,UVOT,B,7700,17.2,4.5
ID-130603B,5.9,NOT,MOSCA,r,1800,12.6,0.23
ID-130603B,6.1,WHT,ACAM,z,900,25.4,1.4
